tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
VeriDNS,files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,ok,275,12lo.warszawa.pl..txt,5812,325.3555370000001,0.591967,1.797189,2,7,2.418813,
VeriDNS,files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,ok,275,12lo.warszawa.pl..txt,5812,325.3555370000001,0.968399,2.575077,2,7,3.585374,
VeriDNS,files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,ok,391,aa.washington.edu..txt,5484,592.3489610000003,0.452739,1.313688,1,0,1.780211,
VeriDNS,files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,ok,391,aa.washington.edu..txt,5484,592.3489610000003,0.62503,2.051205,2,4,2.710704,
VeriDNS,files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,ok,391,aa.washington.edu..txt,5484,592.3489610000003,1.464568,4.395117,2,9,5.914616,
VeriDNS,files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,ok,391,aa.washington.edu..txt,5484,592.3489610000003,1.12159,4.21092,2,3,5.387341,
VeriDNS,files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,ok,111,anchoak.wayport.net..txt,811,89.78146599999998,0.197859,0.409368,1,0,0.615503,
VeriDNS,files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,ok,111,attrtl128654.wichdal.wayport.net..txt,811,89.78146599999998,0.30032,0.447472,2,2,0.763572,
VeriDNS,files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,ok,111,anchoak.wayport.net..txt,811,89.78146599999998,0.398696,0.61029,2,5,1.029129,
VeriDNS,files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,ok,111,corp.aus.wayport.net..txt,811,89.78146599999998,0.335277,1.211856,2,2,1.568396,
VeriDNS,files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,ok,108,42ndstreet.wblogin.com..txt,183,52.10636900000001,0.162001,0.360182,1,0,0.530714,
VeriDNS,files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,ok,108,42ndstreet.wblogin.com..txt,183,52.10636900000001,0.276084,0.360342,2,2,0.651445,
VeriDNS,files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,ok,108,wblogin.com..txt,183,52.10636900000001,0.348944,0.409173,2,5,0.77739,
VeriDNS,files-100-500,wblogin.com,files-100-500/wblogin.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,ok,101,aldertrootes.wcpss.net..txt,390,59.235845,0.13398,0.2713,1,0,0.412682,
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,ok,101,aldertrootes.wcpss.net..txt,390,59.235845,0.286975,0.370471,2,3,0.673688,
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,ok,101,aldertrootes.wcpss.net..txt,390,59.235845,0.328583,0.442247,2,3,0.788521,
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,CNAME_UPDATE,ok,101,apexes.wcpss.net..txt,390,59.235845,0.353353,1.273133,2,4,1.644652,
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.164823,0.711475,1,0,0.884141,
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.590283,1.04328,2,6,1.652786,
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.581219,1.686657,2,6,2.300236,
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,CNAME_UPDATE,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.552628,1.709835,2,6,2.29231,
VeriDNS,files-100-500,webng.com,files-100-500/webng.com,A_ADD,ok,270,a7lajram.webng.com..txt,513,130.090351,0.132527,0.297539,1,0,0.437456,
VeriDNS,files-100-500,webng.com,files-100-500/webng.com,A_UPDATE,ok,270,a7lajram.webng.com..txt,513,130.090351,0.289842,0.36704,2,3,0.672304,
VeriDNS,files-100-500,webng.com,files-100-500/webng.com,NS_UPDATE,ok,270,webng.com..txt,513,130.090351,0.713496,0.977585,2,8,1.729955,
VeriDNS,files-100-500,webng.com,files-100-500/webng.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,webself.net,files-100-500/webself.net,A_ADD,ok,332,aspnetdevelopment.webself.net..txt,667,159.59426000000002,0.167284,0.342214,1,0,0.517515,
VeriDNS,files-100-500,webself.net,files-100-500/webself.net,A_UPDATE,ok,332,aspnetdevelopment.webself.net..txt,667,159.59426000000002,0.329635,0.408495,2,3,0.757143,
VeriDNS,files-100-500,webself.net,files-100-500/webself.net,NS_UPDATE,ok,332,webself.net..txt,667,159.59426000000002,0.51103,0.660756,2,8,1.194577,
VeriDNS,files-100-500,webself.net,files-100-500/webself.net,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,website-start.de,files-100-500/website-start.de,A_ADD,ok,341,s278642480.website-start.de..txt,1885,187.41335100000015,0.147256,0.301426,1,0,0.454871,
VeriDNS,files-100-500,website-start.de,files-100-500/website-start.de,A_UPDATE,ok,341,s278642480.website-start.de..txt,1885,187.41335100000015,0.307793,0.369002,2,4,0.709372,
VeriDNS,files-100-500,website-start.de,files-100-500/website-start.de,NS_UPDATE,ok,341,s278642480.website-start.de..txt,1885,187.41335100000015,0.322707,0.398654,2,4,0.739934,
VeriDNS,files-100-500,website-start.de,files-100-500/website-start.de,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,webwealth.us,files-100-500/webwealth.us,A_ADD,ok,159,123freedom.webwealth.us..txt,291,87.61968399999998,0.144819,0.288807,1,0,0.440866,
VeriDNS,files-100-500,webwealth.us,files-100-500/webwealth.us,A_UPDATE,ok,159,123freedom.webwealth.us..txt,291,87.61968399999998,0.302779,0.36028,2,3,0.678184,
VeriDNS,files-100-500,webwealth.us,files-100-500/webwealth.us,NS_UPDATE,ok,159,webwealth.us..txt,291,87.61968399999998,0.379948,0.530003,2,7,0.930483,
VeriDNS,files-100-500,webwealth.us,files-100-500/webwealth.us,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,wednet.edu,files-100-500/wednet.edu,A_ADD,ok,151,aasd.wednet.edu..txt,2282,127.17144900000004,0.213765,0.417721,1,0,0.638782,
VeriDNS,files-100-500,wednet.edu,files-100-500/wednet.edu,A_UPDATE,ok,151,aasd.wednet.edu..txt,2282,127.17144900000004,0.535092,0.608162,2,9,1.168645,
VeriDNS,files-100-500,wednet.edu,files-100-500/wednet.edu,NS_UPDATE,ok,151,aasd.wednet.edu..txt,2282,127.17144900000004,0.615478,0.713448,2,8,1.356537,
VeriDNS,files-100-500,wednet.edu,files-100-500/wednet.edu,CNAME_UPDATE,ok,151,bham.wednet.edu..txt,2282,127.17144900000004,0.877657,1.968936,2,11,2.881221,
VeriDNS,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,A_ADD,ok,108,a-direct-consolidation-loan.wendellbennett.com..txt,647,106.52732,0.192993,0.397078,1,0,0.598521,
VeriDNS,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,A_UPDATE,ok,108,a-direct-consolidation-loan.wendellbennett.com..txt,647,106.52732,0.381792,1.24474,2,5,1.646352,
VeriDNS,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,NS_UPDATE,ok,108,a-direct-consolidation-loan.wendellbennett.com..txt,647,106.52732,0.464236,0.486951,2,5,0.974981,
VeriDNS,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,wertot.com,files-100-500/wertot.com,A_ADD,ok,220,0o8up.wertot.com..txt,349,96.111172,0.170489,0.348591,1,0,0.526511,
VeriDNS,files-100-500,wertot.com,files-100-500/wertot.com,A_UPDATE,ok,220,0o8up.wertot.com..txt,349,96.111172,0.348081,0.418292,2,3,0.783977,
VeriDNS,files-100-500,wertot.com,files-100-500/wertot.com,NS_UPDATE,ok,220,wertot.com..txt,349,96.111172,0.498571,0.51019,2,8,1.032897,
VeriDNS,files-100-500,wertot.com,files-100-500/wertot.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,wo.tc,files-100-500/wo.tc,A_ADD,ok,256,10wonsoft.wo.tc..txt,3159,161.95788600000006,0.353158,0.484116,1,0,0.845268,
VeriDNS,files-100-500,wo.tc,files-100-500/wo.tc,A_UPDATE,ok,256,10wonsoft.wo.tc..txt,3159,161.95788600000006,0.607556,0.546055,2,13,1.181267,
VeriDNS,files-100-500,wo.tc,files-100-500/wo.tc,NS_UPDATE,ok,256,10wonsoft.wo.tc..txt,3159,161.95788600000006,0.713479,0.647654,2,13,1.391442,
