group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,A_ADD,1.134,0.33694,0.611765,0.29712522045855383,0.5394753086419753
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,A_UPDATE,0.775,0.44722,0.584398,0.5770580645161291,0.7540619354838709
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,NS_UPDATE,0.861,0.558066,1.437723,0.6481602787456445,1.669829268292683
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,CNAME_UPDATE,1.036,0.751418,2.526308,0.7253069498069498,2.4385212355212356
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,A_ADD,0.179,0.172887,0.325489,0.9658491620111733,1.8183743016759777
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,A_UPDATE,0.008,0.478547,0.512969,59.818374999999996,64.121125
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,NS_UPDATE,0.006,0.76044,0.941335,126.74,156.88916666666668
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,CNAME_UPDATE,0.053,0.742456,49.689583,14.008603773584905,937.5393018867925
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,A_ADD,0.196,0.209034,0.43614,1.0665,2.2252040816326533
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,A_UPDATE,0.007,0.954963,1.097247,136.42328571428573,156.74957142857144
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,NS_UPDATE,0.008,0.839675,1.045819,104.959375,130.727375
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,CNAME_UPDATE,0.012,0.968016,2.523468,80.66799999999999,210.289
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,A_ADD,0.28200000000000003,0.154722,0.302595,0.548659574468085,1.073031914893617
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,A_UPDATE,0.008,0.396487,0.615989,49.560874999999996,76.998625
