group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,aether_initial_ms,aether_incremental_ms,veridns_initial_ms,veridns_incremental_ms,veridns_full_update_ms,properties,aether_initial_pass,aether_incremental_pass,aether_errors,veridns_initial_pass,veridns_incremental_pass,veridns_errors,veridns_matches_aether,oracle,detail
files-100-500,voxcdn.com,files-100-500/voxcdn.com,A_UPDATE,error,137,1714.voxcdn.com..txt,621,,,124.92905300000002,0.55018,0.529001,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,False,False,rewrite_blackholing,,,aether=exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__voxcdn.com/A_UPDATE/stderr.log; veridns=
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,ok,137,voxcdn.com..txt,621,20.128,0.8240000000000001,124.92905300000002,2.458151,2.491068,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,false,lame_delegation|rewrites,False,False,lame_delegation|rewrite_blackholing,False,Aether,aether=num_lec=83; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__voxcdn.com/NS_UPDATE/stderr.log; veridns=
files-100-500,voxcdn.com,files-100-500/voxcdn.com,CNAME_UPDATE,error,137,1714.voxcdn.com..txt,621,,,124.92905300000002,0.639772,0.522475,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,False,False,rewrite_blackholing,,,aether=exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__voxcdn.com/CNAME_UPDATE/stderr.log; veridns=
files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,ok,193,1c.vrn.ru..txt,2685,198.91699999999997,0.985,177.89050999999998,0.247216,0.228811,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=2481; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vrn.ru/A_ADD/stderr.log; veridns=
files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,ok,193,1c.vrn.ru..txt,2685,230.788,0.542,177.89050999999998,0.209992,0.194606,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=2480; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vrn.ru/A_UPDATE/stderr.log; veridns=
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,ok,193,1c.vrn.ru..txt,2685,203.63699999999997,0.491,177.89050999999998,0.217963,0.204377,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,lame_delegation,False,Aether,aether=num_lec=2480; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vrn.ru/NS_UPDATE/stderr.log; veridns=
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,ok,193,advecs.vrn.ru..txt,2685,203.375,0.48,177.89050999999998,1.192818,1.251265,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=2480; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vrn.ru/CNAME_UPDATE/stderr.log; veridns=
files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,ok,148,aboutchristmas.w3wb.com..txt,590,56.383,1.0709999999999997,63.907301000000004,0.18904,0.170697,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=886; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__w3wb.com/A_ADD/stderr.log; veridns=
files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,ok,148,aboutchristmas.w3wb.com..txt,590,60.91,0.661,63.907301000000004,0.205632,0.189149,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=885; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__w3wb.com/A_UPDATE/stderr.log; veridns=
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,ok,148,w3wb.com..txt,590,63.536,4.241999999999999,63.907301000000004,7.94299,8.196879,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,false,rewrites,False,False,lame_delegation|rewrite_blackholing,False,Aether,aether=num_lec=885; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__w3wb.com/NS_UPDATE/stderr.log; veridns=
