group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup,veridns_matches_aether
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,A_ADD,0.653,0.721147,0.617254,1.1043598774885144,0.9452588055130168,False
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,A_UPDATE,0.477,0.567482,0.70407,1.1896897274633125,1.4760377358490566,False
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,NS_UPDATE,0.431,0.745152,0.769052,1.7288909512761022,1.7843433874709975,False
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,CNAME_UPDATE,0.436,0.569231,0.70623,1.3055756880733946,1.6197935779816515,False
files-100-500,vivilotz.com,files-100-500/vivilotz.com,delegation-heavy,A_ADD,0.962,0.309213,0.195625,0.32142723492723496,0.20335239085239085,True
files-100-500,vivilotz.com,files-100-500/vivilotz.com,delegation-heavy,A_UPDATE,0.353,0.182697,0.16392,0.5175552407932011,0.4643626062322947,True
files-100-500,vivilotz.com,files-100-500/vivilotz.com,delegation-heavy,NS_UPDATE,0.419,0.215232,0.192082,0.5136801909307877,0.4584295942720764,False
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,A_ADD,0.14100000000000001,0.238084,0.205732,1.6885390070921984,1.4590921985815601,True
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,A_UPDATE,0.014,0.339245,0.194018,24.231785714285714,13.85842857142857,True
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,NS_UPDATE,0.006,0.225939,0.19762,37.6565,32.93666666666667,False
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,CNAME_UPDATE,0.063,0.52833,0.68175,8.386190476190476,10.821428571428571,False
files-100-500,voxcdn.com,files-100-500/voxcdn.com,rewrite-heavy,NS_UPDATE,0.8240000000000001,2.458151,2.491068,2.9831929611650483,3.023140776699029,False
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,A_ADD,0.985,0.247216,0.228811,0.25098071065989846,0.2322954314720812,True
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,A_UPDATE,0.542,0.209992,0.194606,0.3874391143911439,0.35905166051660514,True
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,NS_UPDATE,0.491,0.217963,0.204377,0.4439164969450102,0.41624643584521387,False
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,CNAME_UPDATE,0.48,1.192818,1.251265,2.4850375,2.6068020833333336,False
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,A_ADD,1.0709999999999997,0.18904,0.170697,0.17650793650793656,0.1593809523809524,True
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,A_UPDATE,0.661,0.205632,0.189149,0.31109228441754916,0.2861558245083207,True
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,NS_UPDATE,4.241999999999999,7.94299,8.196879,1.8724634606317778,1.932314710042433,False
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,CNAME_UPDATE,5.9990000000000006,7.962303,34.775051,1.327271711951992,5.796807967994665,False
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,A_ADD,0.674,0.957635,0.726088,1.4208234421364985,1.077281899109792,False
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,A_UPDATE,0.701,0.688277,0.680153,0.9818502139800286,0.9702610556348075,False
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,NS_UPDATE,0.504,0.539118,0.537005,1.0696785714285715,1.065486111111111,False
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,CNAME_UPDATE,0.366,0.737125,0.901736,2.0140027322404372,2.46375956284153,False
files-100-500,warriorhall.com,files-100-500/warriorhall.com,delegation-heavy,A_ADD,0.616,0.214003,0.257854,0.34740746753246754,0.4185941558441559,True
files-100-500,warriorhall.com,files-100-500/warriorhall.com,delegation-heavy,A_UPDATE,0.457,0.228614,0.167389,0.5002494529540481,0.3662778993435449,True
files-100-500,warriorhall.com,files-100-500/warriorhall.com,delegation-heavy,NS_UPDATE,0.47100000000000003,0.220672,0.20557,0.4685180467091295,0.43645435244161357,False
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,A_ADD,0.854,0.532436,0.651297,0.6234613583138173,0.7626428571428572,False
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,A_UPDATE,0.427,0.547698,0.65985,1.2826651053864169,1.5453161592505855,False
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,NS_UPDATE,0.52,0.63143,0.529019,1.2142884615384615,1.0173442307692309,False
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,CNAME_UPDATE,0.709,0.651769,0.537267,0.9192792665726376,0.7577813822284909,False
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,A_ADD,1.2799999999999998,1.183654,1.158238,0.9247296875000002,0.9048734375000003,False
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,A_UPDATE,0.625,1.160756,1.053825,1.8572095999999998,1.68612,False
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,NS_UPDATE,1.1059999999999999,1.110891,1.147776,1.0044222423146476,1.0377721518987342,False
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,CNAME_UPDATE,0.895,1.027421,1.422123,1.1479564245810054,1.588964245810056,False
files-100-500,wayport.net,files-100-500/wayport.net,delegation-heavy,A_ADD,0.094,0.223108,0.205688,2.3734893617021275,2.1881702127659577,True
files-100-500,wayport.net,files-100-500/wayport.net,delegation-heavy,A_UPDATE,0.006,0.258868,0.245573,43.144666666666666,40.92883333333334,True
