zone,num_lec,io_time (ms),construction_time (ms),symbolic_time (ms),property_checking_time (ms),re_construction_time (ms),re_symbolic_time (ms),re_property_checking_time (ms),properties,initial_property_pass,initial_errors,incremental_property_pass,incremental_errors,rr_count,zone_file_count,trace_count,log_count,affected_trace_count,update_add_count,update_del_count,update_type,max_query_depth,min_label_num,min_label_bits
microbench/cname-wildcard,9,2.437,9.64,0.446,0.006,0.149,0.35,0.009,too long|rewrite blackholing|hops|rewrites|lame delegation|delegation consistency|zone loop,false,rewrite 1,false,rewrite 1,6,1,8,10,8,1,0,ADD:DNAME,10,5,4
microbench/cname-wildcard,9,0.12,8.731,0.284,0.004,0.144,0.265,0.007,too long|rewrite blackholing|hops|rewrites|lame delegation|delegation consistency|zone loop,false,rewrite 1,false,rewrite 1,6,1,8,10,8,1,0,ADD:DNAME,10,5,4
microbench/cname-wildcard,9,0.121,8.833,0.484,0.011,0.317,0.174,0.008,too long|rewrite blackholing|hops|rewrites|lame delegation|delegation consistency|zone loop,false,rewrite 1,false,rewrite 1,6,1,8,10,8,1,0,ADD:DNAME,10,5,4
