group,dataset,dataset_id,scenario,property,aether_pass,veridns_pass,matches_aether,aether_errors,veridns_errors,oracle
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,yourprospex.com,files-100-500/yourprospex.com,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,za.net,files-100-500/za.net,A_ADD,hops,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_ADD,rewrites,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_ADD,lame_delegation,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_ADD,rewrite_blackholing,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,za.net,files-100-500/za.net,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
files-100-500,za.net,files-100-500/za.net,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
files-100-500,za.net,files-100-500/za.net,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,za.net,files-100-500/za.net,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
files-100-500,za.net,files-100-500/za.net,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,za.net,files-100-500/za.net,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,za.net,files-100-500/za.net,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,za.net,files-100-500/za.net,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,za.net,files-100-500/za.net,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,za.net,files-100-500/za.net,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,za.net,files-100-500/za.net,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,za.net,files-100-500/za.net,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_ADD,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_ADD,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_ADD,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_ADD,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_ADD,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,zgora.pl,files-100-500/zgora.pl,A_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
