add type,check_flag,check info,check time(ns),check time and rr(ns)
QueryType.A,True,,7129,11696
QueryType.A,True,,8081,12747
QueryType.A,True,,10008,14551
QueryType.A,True,,7261,11684
QueryType.A,True,,12165,16785
QueryType.A,True,,9619,16435
QueryType.A,True,,7382,11857
QueryType.A,True,,9522,13910
QueryType.A,True,,8001,12551
QueryType.A,True,,7774,12126
QueryType.A,True,,9098,13542
QueryType.A,True,,9740,14139
QueryType.A,True,,9121,13529
QueryType.A,True,,9129,13712
QueryType.A,True,,7564,12006
QueryType.A,True,,10231,15643
QueryType.A,True,,7196,11559
QueryType.A,True,,9857,14474
QueryType.A,True,,9790,14201
QueryType.A,True,,8569,13110
QueryType.A,True,,9351,13802
QueryType.A,True,,7050,11533
QueryType.A,True,,9515,13926
QueryType.A,True,,7214,11747
QueryType.A,True,,7155,11509
QueryType.A,True,,11845,16264
QueryType.A,True,,9205,13552
QueryType.A,True,,8098,12479
QueryType.A,True,,10582,15160
QueryType.A,True,,8534,12877
QueryType.A,True,,10218,14933
QueryType.A,True,,8000,12487
QueryType.A,True,,12035,24936
QueryType.A,True,,10351,15026
QueryType.A,True,,12132,16858
QueryType.A,True,,9868,14546
QueryType.A,True,,8590,13344
QueryType.A,True,,9117,13699
QueryType.A,True,,10466,15181
QueryType.A,True,,9504,14110
QueryType.A,True,,9301,13762
QueryType.A,True,,7285,11702
QueryType.A,True,,8193,12666
QueryType.A,True,,8944,14123
QueryType.A,True,,7706,12343
QueryType.A,True,,9061,13540
QueryType.A,True,,9157,13714
QueryType.A,True,,7541,12125
QueryType.A,True,,9624,14054
QueryType.A,True,,7104,11610
QueryType.A,True,,7611,12217
QueryType.A,True,,9505,13876
QueryType.A,True,,7685,12087
QueryType.A,True,,12265,16644
QueryType.A,True,,8025,12802
QueryType.A,True,,7567,14192
QueryType.A,True,,8892,13535
QueryType.A,True,,13132,17946
QueryType.A,True,,9448,14130
QueryType.A,True,,9240,13789
QueryType.A,True,,9465,14115
QueryType.A,True,,10259,14892
QueryType.A,True,,8018,12996
QueryType.A,True,,9016,13538
QueryType.A,True,,7218,11763
QueryType.A,True,,7016,11549
QueryType.A,True,,10229,14666
QueryType.A,True,,9965,14511
QueryType.A,True,,11867,16440
QueryType.A,True,,8848,14510
QueryType.A,True,,6935,11479
QueryType.A,True,,10283,14738
QueryType.A,True,,7153,11845
QueryType.A,True,,8009,12356
QueryType.A,True,,11888,16454
QueryType.A,True,,10786,15430
QueryType.A,True,,9880,14338
QueryType.A,True,,8360,12974
QueryType.A,True,,8189,12865
QueryType.A,True,,9434,13909
QueryType.A,True,,7276,11875
QueryType.A,True,,11302,15633
QueryType.A,True,,7985,12473
QueryType.A,True,,7718,12069
QueryType.A,True,,9427,13825
QueryType.A,True,,8210,12977
QueryType.A,True,,11443,16069
QueryType.A,True,,7364,12055
QueryType.A,True,,9653,14083
QueryType.A,True,,8808,13307
QueryType.A,True,,7390,11839
QueryType.A,True,,9134,13446
QueryType.A,True,,8010,12563
QueryType.A,True,,7250,11554
QueryType.A,True,,9958,14257
QueryType.A,True,,10101,14541
QueryType.A,True,,8120,12912
QueryType.A,True,,9437,15255
QueryType.A,True,,7526,12345
QueryType.A,True,,11149,15729
QueryType.A,True,,8069,12798
QueryType.A,True,,7794,12229
QueryType.A,True,,11878,16393
QueryType.A,True,,7577,12220
QueryType.A,True,,10864,15562
QueryType.A,True,,8313,14782
QueryType.A,True,,7185,11800
QueryType.A,True,,9575,13951
QueryType.A,True,,7860,12592
QueryType.A,True,,10801,23662
QueryType.A,True,,8641,13231
QueryType.A,True,,7836,12321
QueryType.A,True,,9886,14638
QueryType.A,True,,8134,12889
QueryType.A,True,,9171,13697
QueryType.A,True,,9110,13767
QueryType.A,True,,9285,13689
QueryType.A,True,,9875,14649
QueryType.A,True,,7075,11619
QueryType.A,True,,7516,11975
QueryType.A,True,,9590,14173
QueryType.A,True,,8804,13661
QueryType.A,True,,9858,14165
QueryType.A,True,,10735,16175
QueryType.A,True,,8127,12719
QueryType.A,True,,9297,13678
QueryType.A,True,,7251,11867
QueryType.A,True,,8969,13543
QueryType.A,True,,8412,12854
QueryType.A,True,,7562,12122
QueryType.A,True,,10991,15494
QueryType.A,True,,6936,11828
QueryType.A,True,,9102,13656
QueryType.A,True,,7403,11996
QueryType.A,True,,7911,12341
QueryType.A,True,,8930,13645
QueryType.A,True,,7261,11827
QueryType.A,True,,10581,15125
QueryType.A,True,,7336,11861
QueryType.A,True,,7054,11570
QueryType.A,True,,11188,15860
QueryType.A,True,,7775,12613
QueryType.A,True,,8358,12893
QueryType.A,True,,10810,15497
QueryType.A,True,,9718,14185
QueryType.A,True,,10964,15653
QueryType.A,True,,7258,11859
QueryType.A,True,,7924,12471
QueryType.A,True,,9003,13450
QueryType.A,True,,7722,13196
QueryType.A,True,,11475,15905
QueryType.A,True,,9564,14076
QueryType.A,True,,7095,11478
QueryType.A,True,,9819,14309
QueryType.A,True,,8234,13027
QueryType.A,True,,9795,16588
QueryType.A,True,,8103,12614
QueryType.A,True,,7111,11567
QueryType.A,True,,11638,16196
QueryType.A,True,,7969,12567
QueryType.A,True,,11549,16312
QueryType.A,True,,8158,12890
QueryType.A,True,,7563,12147
QueryType.A,True,,9807,14559
QueryType.A,True,,7680,12114
QueryType.A,True,,10403,14758
QueryType.A,True,,9881,14597
QueryType.A,True,,7170,11714
QueryType.A,True,,10192,14602
QueryType.A,True,,9077,13608
QueryType.A,True,,7190,11521
QueryType.A,True,,10556,14975
QueryType.A,True,,10136,14603
QueryType.A,True,,8906,13339
QueryType.A,True,,7810,12447
QueryType.A,True,,9485,13855
QueryType.A,True,,10312,14766
QueryType.A,True,,7844,13256
QueryType.A,True,,9661,14068
QueryType.A,True,,9202,13853
QueryType.A,True,,7558,11978
QueryType.A,True,,12803,17232
QueryType.A,True,,8208,12880
QueryType.A,True,,9309,13913
QueryType.A,True,,7887,12401
QueryType.A,True,,7820,12315
QueryType.A,True,,11756,24468
QueryType.A,True,,8310,12768
QueryType.A,True,,7798,12319
QueryType.A,True,,9984,14324
QueryType.A,True,,7864,12350
QueryType.A,True,,9926,14359
QueryType.A,True,,8360,13043
QueryType.A,True,,9809,14420
QueryType.A,True,,12260,16825
QueryType.A,True,,7157,11750
QueryType.A,True,,9510,13807
QueryType.A,True,,7037,11449
QueryType.A,True,,6903,11327
QueryType.A,True,,9763,14198
QueryType.A,True,,8992,13432
QueryType.A,True,,8803,13272
QueryType.A,True,,9323,13776
QueryType.A,True,,7744,12177
QueryType.A,True,,9601,15040
QueryType.A,True,,7702,14075
QueryType.A,True,,9552,14150
QueryType.A,True,,10411,14903
QueryType.A,True,,7415,11923
QueryType.A,True,,8954,13371
QueryType.A,True,,8015,12407
QueryType.A,True,,7162,11490
QueryType.A,True,,9289,13629
QueryType.A,True,,8399,13004
QueryType.A,True,,10520,15079
QueryType.A,True,,9018,13428
QueryType.A,True,,7867,12386
QueryType.A,True,,10776,15179
QueryType.A,True,,7739,12352
QueryType.A,True,,10234,14714
QueryType.A,True,,7862,12303
QueryType.A,True,,10035,14428
QueryType.A,True,,10127,14903
QueryType.A,True,,8146,12761
QueryType.A,True,,10486,14951
QueryType.A,True,,7434,12043
QueryType.A,True,,7992,12610
QueryType.A,True,,9526,14011
QueryType.A,True,,10433,14991
QueryType.A,True,,10385,14875
QueryType.A,True,,7930,12370
QueryType.A,True,,7769,12767
QueryType.A,True,,9982,14691
QueryType.A,True,,6956,11342
QueryType.A,True,,8161,12645
QueryType.A,True,,12105,16684
QueryType.A,True,,7807,12230
QueryType.A,True,,9516,14099
QueryType.A,True,,8483,13158
QueryType.A,True,,7229,11613
QueryType.A,True,,9487,14001
QueryType.A,True,,7729,12347
QueryType.A,True,,11414,15836
QueryType.A,True,,8134,12643
QueryType.A,True,,7391,11685
QueryType.A,True,,9013,13508
QueryType.A,True,,14111,18614
QueryType.A,True,,9681,14297
QueryType.A,True,,8013,12677
QueryType.A,True,,9935,14353
QueryType.A,True,,9011,13494
QueryType.A,True,,8141,12645
QueryType.A,True,,11034,15486
QueryType.A,True,,7806,12306
QueryType.A,True,,7329,12134
QueryType.A,True,,9192,15822
QueryType.A,True,,9751,14392
QueryType.A,True,,7823,12380
QueryType.A,True,,10063,15381
QueryType.A,True,,7856,12630
QueryType.A,True,,10722,15147
QueryType.A,True,,7837,12385
QueryType.A,True,,7581,12296
QueryType.A,True,,12014,24806
QueryType.A,True,,7891,12432
QueryType.A,True,,9454,13956
QueryType.A,True,,7977,12426
QueryType.A,True,,7849,12268
QueryType.A,True,,9161,13796
QueryType.A,True,,7768,12529
QueryType.A,True,,11384,15745
QueryType.A,True,,7235,11774
QueryType.A,True,,7062,11659
QueryType.A,True,,9372,13681
QueryType.A,True,,7945,12335
QueryType.A,True,,9263,13674
QueryType.A,True,,7866,12379
QueryType.A,True,,9685,14354
QueryType.A,True,,9252,13709
QueryType.A,True,,8645,13169
QueryType.A,True,,7070,11639
QueryType.A,True,,8919,13279
QueryType.A,True,,7845,12589
QueryType.A,True,,10143,14494
QueryType.A,True,,10039,15508
QueryType.A,True,,7254,11970
QueryType.A,True,,11256,16079
QueryType.A,True,,8224,12839
QueryType.A,True,,9316,13781
QueryType.A,True,,7001,11606
QueryType.A,True,,7376,11864
QueryType.A,True,,12132,16504
QueryType.A,True,,9108,13535
QueryType.A,True,,11834,16320
QueryType.A,True,,8147,12976
QueryType.A,True,,7202,11816
QueryType.A,True,,11270,15792
QueryType.A,True,,7700,12373
QueryType.A,True,,17880,22420
QueryType.A,True,,7128,11728
QueryType.A,True,,11542,15973
QueryType.A,True,,11011,15439
QueryType.A,True,,8232,12872
QueryType.A,True,,8079,12563
QueryType.A,True,,11850,16653
QueryType.A,True,,9128,15689
QueryType.A,True,,9205,13720
QueryType.A,True,,8099,12618
QueryType.A,True,,7441,11956
QueryType.A,True,,8888,13368
QueryType.A,True,,7955,12498
QueryType.A,True,,9073,14586
QueryType.A,True,,10343,14717
QueryType.A,True,,7945,13302
QueryType.A,True,,10214,14969
QueryType.A,True,,7065,11725
QueryType.A,True,,9008,13536
QueryType.A,True,,6889,11587
QueryType.A,True,,7848,12528
QueryType.A,True,,12129,16723
QueryType.A,True,,8246,12811
QueryType.A,True,,9640,14086
QueryType.A,True,,7149,11739
QueryType.A,True,,6996,11477
QueryType.A,True,,10229,14697
QueryType.A,True,,7123,11598
QueryType.A,True,,10100,14539
QueryType.A,True,,8949,13522
QueryType.A,True,,7978,12460
QueryType.A,True,,8777,13152
QueryType.A,True,,7211,12058
QueryType.A,True,,7800,12370
QueryType.A,True,,9960,14479
QueryType.A,True,,9790,14292
QueryType.A,True,,9307,13939
QueryType.A,True,,7256,11807
QueryType.A,True,,6996,11613
QueryType.A,True,,9639,14117
QueryType.A,True,,7170,12604
QueryType.A,True,,9876,14660
QueryType.A,True,,17122,30009
QueryType.A,True,,7714,12291
QueryType.A,True,,8719,13219
QueryType.A,True,,7022,11570
QueryType.A,True,,9566,14129
QueryType.A,True,,8098,12579
QueryType.A,True,,7860,12653
QueryType.A,True,,12106,16498
QueryType.A,True,,7669,12283
QueryType.A,True,,8178,12909
QueryType.A,True,,10534,15039
QueryType.A,True,,7932,12407
QueryType.A,True,,10581,15059
QueryType.A,True,,7149,11649
QueryType.A,True,,10099,14705
QueryType.A,True,,10339,16822
QueryType.A,True,,8123,12888
QueryType.A,True,,9709,14347
QueryType.A,True,,7084,11658
QueryType.A,True,,8342,12830
QueryType.A,True,,9851,14215
QueryType.A,True,,10121,14627
QueryType.A,True,,11270,15789
QueryType.A,True,,8571,13100
QueryType.A,True,,8417,13805
QueryType.A,True,,9759,14306
QueryType.A,True,,7003,11545
QueryType.A,True,,9167,13523
QueryType.A,True,,9781,14384
QueryType.A,True,,8007,12431
QueryType.A,True,,9545,14374
QueryType.A,True,,7785,12367
QueryType.A,True,,8354,12782
QueryType.A,True,,10049,14442
QueryType.A,True,,8028,12550
QueryType.A,True,,12017,16420
QueryType.A,True,,7128,11831
QueryType.A,True,,7876,12390
QueryType.A,True,,9947,14540
QueryType.A,True,,7463,11895
QueryType.A,True,,9177,13749
QueryType.A,True,,7233,11649
QueryType.A,True,,9322,13879
QueryType.A,True,,9201,13877
QueryType.A,True,,9013,13441
QueryType.A,True,,9554,14028
QueryType.A,True,,8208,12702
QueryType.A,True,,7492,12096
QueryType.A,True,,9340,13789
QueryType.A,True,,8983,13709
QueryType.A,True,,10166,14579
QueryType.A,True,,8211,12961
QueryType.A,True,,8095,13439
QueryType.A,True,,9947,14462
QueryType.A,True,,7770,12553
QueryType.A,True,,9329,13955
QueryType.A,True,,12903,17440
QueryType.A,True,,7859,12472
QueryType.A,True,,9526,13965
QueryType.A,True,,7244,11929
QueryType.A,True,,9150,13579
QueryType.A,True,,10276,14734
QueryType.A,True,,8210,12597
QueryType.A,True,,11498,16033
QueryType.A,True,,8689,13396
QueryType.A,True,,7026,14320
QueryType.A,True,,12990,17661
QueryType.A,True,,7520,12191
QueryType.A,True,,9120,13768
QueryType.A,True,,7102,11636
QueryType.A,True,,9246,13985
QueryType.A,True,,11778,16419
QueryType.A,True,,8497,13459
QueryType.A,True,,10123,14767
QueryType.A,True,,8885,13532
QueryType.A,True,,7411,12002
QueryType.A,True,,9822,14361
QueryType.A,True,,9784,22339
QueryType.A,True,,7466,12743
QueryType.A,True,,9876,14492
QueryType.A,True,,7348,12144
QueryType.A,True,,9847,14533
QueryType.A,True,,7970,12761
QueryType.A,True,,7182,11799
QueryType.A,True,,11051,15666
QueryType.A,True,,8121,12634
QueryType.A,True,,10854,15314
QueryType.A,True,,8437,12893
QueryType.A,True,,8295,12664
QueryType.A,True,,9152,13506
QueryType.A,True,,6977,11542
QueryType.A,True,,10786,15505
QueryType.A,True,,7764,12199
QueryType.A,True,,7071,11730
QueryType.A,True,,9622,14089
QueryType.A,True,,8029,12527
QueryType.A,True,,9538,14158
QueryType.A,True,,8445,13223
QueryType.A,True,,8732,13433
QueryType.A,True,,9875,14306
QueryType.A,True,,8567,13232
QueryType.A,True,,7049,11532
QueryType.A,True,,10139,14663
QueryType.A,True,,7501,11944
QueryType.A,True,,10039,15326
QueryType.A,True,,9022,13520
QueryType.A,True,,7171,11604
QueryType.A,True,,10038,14373
QueryType.A,True,,7891,12429
QueryType.A,True,,10645,15119
QueryType.A,True,,7947,12474
QueryType.A,True,,8660,13202
QueryType.A,True,,10827,15226
QueryType.A,True,,7150,11638
QueryType.A,True,,8872,13727
QueryType.A,True,,8990,15508
QueryType.A,True,,8246,12805
QueryType.A,True,,8787,13608
QueryType.A,True,,8128,12570
QueryType.A,True,,11866,16282
QueryType.A,True,,7889,12378
QueryType.A,True,,7073,11546
QueryType.A,True,,8964,13424
QueryType.A,True,,7108,11516
QueryType.A,True,,7133,11564
QueryType.A,True,,8771,13117
QueryType.A,True,,18821,23772
QueryType.A,True,,9476,14119
QueryType.A,True,,8923,13478
QueryType.A,True,,8357,12848
QueryType.A,True,,8860,13396
QueryType.A,True,,7138,12514
QueryType.A,True,,10330,14939
QueryType.A,True,,9709,14081
QueryType.A,True,,8042,12566
QueryType.A,True,,10651,15184
QueryType.A,True,,7493,12026
QueryType.A,True,,11706,16135
QueryType.A,True,,8947,13577
QueryType.A,True,,7810,12296
QueryType.A,True,,10972,15548
QueryType.A,True,,8050,12553
QueryType.A,True,,10337,14977
QueryType.A,True,,7104,11551
QueryType.A,True,,7003,11611
QueryType.A,True,,8826,13226
QueryType.A,True,,7030,11574
QueryType.A,True,,8929,13330
QueryType.A,True,,10259,14786
QueryType.A,True,,7992,12622
QueryType.A,True,,10935,15418
QueryType.A,True,,6898,11486
QueryType.A,True,,7922,12248
QueryType.A,True,,9567,14297
QueryType.A,True,,9396,22021
QueryType.A,True,,8780,13172
QueryType.A,True,,8531,13130
QueryType.A,True,,8068,12498
QueryType.A,True,,10369,15807
QueryType.A,True,,7853,12281
QueryType.A,True,,9984,14686
QueryType.A,True,,10042,14573
QueryType.A,True,,7637,12169
QueryType.A,True,,9558,14199
QueryType.A,True,,7363,12203
QueryType.A,True,,10726,17198
QueryType.A,True,,7303,11749
QueryType.A,True,,7988,12496
QueryType.A,True,,11505,15863
QueryType.A,True,,6935,11433
QueryType.A,True,,7864,12365
QueryType.A,True,,10008,14489
QueryType.A,True,,8806,13393
QueryType.A,True,,9867,14585
QueryType.A,True,,7845,12343
QueryType.A,True,,10971,15368
QueryType.A,True,,11003,15566
QueryType.A,True,,7220,11701
QueryType.A,True,,11284,15776
QueryType.A,True,,7573,12189
QueryType.A,True,,8162,12730
QueryType.A,True,,20672,25095
QueryType.A,True,,9107,13864
QueryType.A,True,,9921,14517
QueryType.A,True,,8196,12710
QueryType.A,True,,7776,13247
QueryType.A,True,,15843,20308
QueryType.A,True,,7075,11700
QueryType.A,True,,10370,14949
QueryType.A,True,,10023,14547
QueryType.A,True,,7831,12445
QueryType.A,True,,9709,14321
QueryType.A,True,,8511,13151
QueryType.A,True,,7309,11734
QueryType.A,True,,9226,13722
QueryType.A,True,,7156,11794
QueryType.A,True,,11329,16316
QueryType.A,True,,7710,12564
QueryType.A,True,,8492,13305
QueryType.A,True,,9338,14101
QueryType.A,True,,8307,12899
QueryType.A,True,,9813,14515
QueryType.A,True,,9275,13740
QueryType.A,True,,10320,15235
QueryType.A,True,,8917,13350
QueryType.A,True,,7154,11545
QueryType.A,True,,10001,14404
QueryType.A,True,,8139,12670
QueryType.A,True,,7896,12282
QueryType.A,True,,9721,14085
QueryType.A,True,,11165,15657
QueryType.A,True,,9382,14629
QueryType.A,True,,9588,14129
QueryType.A,True,,8122,12663
QueryType.A,True,,10479,15123
QueryType.A,True,,8016,14471
QueryType.A,True,,7809,12292
QueryType.A,True,,11778,16101
QueryType.A,True,,7860,12329
QueryType.A,True,,9553,13994
QueryType.A,True,,7089,11535
QueryType.A,True,,7047,11618
QueryType.A,True,,10356,14949
QueryType.A,True,,8106,12611
QueryType.A,True,,12473,16834
QueryType.A,True,,7056,11553
QueryType.A,True,,7110,11578
QueryType.A,True,,9910,14295
QueryType.A,True,,7965,12444
QueryType.A,True,,8874,13301
QueryType.A,True,,9170,13538
QueryType.A,True,,9948,22874
QueryType.A,True,,9711,14284
QueryType.A,True,,8268,12958
QueryType.A,True,,15686,20119
QueryType.A,True,,7226,11653
QueryType.A,True,,7090,11582
QueryType.A,True,,8713,13373
QueryType.A,True,,9982,15259
QueryType.A,True,,7041,11472
QueryType.A,True,,9048,13710
QueryType.A,True,,7060,11487
QueryType.A,True,,8679,13134
QueryType.A,True,,8018,12734
QueryType.A,True,,7794,12134
QueryType.A,True,,11811,16313
QueryType.A,True,,8222,12674
QueryType.A,True,,9431,13794
QueryType.A,True,,7126,11664
QueryType.A,True,,8533,13006
QueryType.A,True,,9474,14001
QueryType.A,True,,7334,11678
QueryType.A,True,,12648,16988
QueryType.A,True,,6928,11347
QueryType.A,True,,8451,12927
QueryType.A,True,,10844,15232
QueryType.A,True,,7661,12044
QueryType.A,True,,9272,13754
QueryType.A,True,,6955,11661
QueryType.A,True,,9458,14129
QueryType.A,True,,10625,15123
QueryType.A,True,,8411,13004
QueryType.A,True,,7363,11847
QueryType.A,True,,9976,14484
QueryType.A,True,,7233,12268
QueryType.A,True,,10562,18000
QueryType.A,True,,10109,14684
QueryType.A,True,,9385,13825
QueryType.A,True,,10109,14684
QueryType.A,True,,6945,11493
QueryType.A,True,,10254,14665
QueryType.A,True,,7486,12067
QueryType.A,True,,7720,12235
QueryType.A,True,,11512,15952
QueryType.A,True,,8507,12977
QueryType.A,True,,10898,15525
QueryType.A,True,,7862,12761
QueryType.A,True,,7093,11805
QueryType.A,True,,9805,14295
QueryType.A,True,,8146,12546
