zone,num_lec,io_time (ms),construction_time (ms),symbolic_time (ms),property_checking_time (ms),re_construction_time (ms),re_symbolic_time (ms),re_property_checking_time (ms),properties,initial_property_pass,initial_errors,incremental_property_pass,incremental_errors,rr_count,zone_file_count,trace_count,log_count,affected_trace_count,update_add_count,update_del_count,update_type,max_query_depth,min_label_num,min_label_bits
microbench/cname-loop,9,2.171,9.76,0.634,0.007,0.039,0.631,0.023,zone loop|delegation consistency|rewrites|too long|lame delegation|rewrite blackholing|hops,false,rewrites|rewrite 10|rewrites|rewrite 10,false,rewrite 10|rewrite 2|rewrite 3|rewrite 4|rewrite 5|rewrite 6|rewrite 7|rewrite 8|rewrite 9|rewrites,7,1,9,28,26,1,0,ADD:A,10,5,4
microbench/cname-loop,9,0.122,8.192,0.677,0.006,0.046,0.734,0.024,zone loop|delegation consistency|rewrites|too long|lame delegation|rewrite blackholing|hops,false,rewrites|rewrite 10|rewrites|rewrite 10,false,rewrite 10|rewrite 2|rewrite 3|rewrite 4|rewrite 5|rewrite 6|rewrite 7|rewrite 8|rewrite 9|rewrites,7,1,9,28,26,1,0,ADD:A,10,5,4
microbench/cname-loop,9,0.159,9.395,0.585,0.007,0.053,0.566,0.025,zone loop|delegation consistency|rewrites|too long|lame delegation|rewrite blackholing|hops,false,rewrites|rewrite 10|rewrites|rewrite 10,false,rewrite 10|rewrite 2|rewrite 3|rewrite 4|rewrite 5|rewrite 6|rewrite 7|rewrite 8|rewrite 9|rewrites,7,1,9,28,26,1,0,ADD:A,10,5,4
