tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
Aether,top-10,co.kr,top-10/co.kr,A_ADD,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,"TimeoutExpired(['/home/rulan_yang/DNS-verification/aether/dnsverify/target/release/dnsv', '--output', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/aether_raw.csv', '--trace', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/traces', '--updates', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/updates.csv', '--jobs', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/properties.txt', 'c', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/input.csv'], 60.0)"
Aether,top-10,com.np,top-10/com.np,NS_UPDATE,ok,,062civil.com.np..txt,,12832.788999999999,1.875,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrite_loop|rewrites,,num_lec=88899; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.np/NS_UPDATE/stderr.log
Aether,top-10,com.np,top-10/com.np,CNAME_UPDATE,ok,,1130basan.com.np..txt,,14379.645999999999,1.628,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrite_loop|rewrites,,num_lec=88899; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.np/CNAME_UPDATE/stderr.log
Aether,top-10,com.sg,top-10/com.sg,A_ADD,ok,,01computer.com.sg..txt,,10202.509999999998,0.436,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=67871; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.sg/A_ADD/stderr.log
Aether,top-10,com.sg,top-10/com.sg,A_UPDATE,ok,,01computer.com.sg..txt,,10359.125000000002,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=67870; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.sg/A_UPDATE/stderr.log
Aether,top-10,com.sg,top-10/com.sg,NS_UPDATE,ok,,01computer.com.sg..txt,,10272.104,0.008,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=67870; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.sg/NS_UPDATE/stderr.log
Aether,top-10,com.sg,top-10/com.sg,CNAME_UPDATE,ok,,100hours.com.sg..txt,,10373.131000000001,0.187,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=67870; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.sg/CNAME_UPDATE/stderr.log
Aether,top-10,com.tw,top-10/com.tw,A_ADD,ok,,000.com.tw..txt,,50250.72,0.619,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=234210; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.tw/A_ADD/stderr.log
Aether,top-10,com.tw,top-10/com.tw,A_UPDATE,ok,,000.com.tw..txt,,47082.70399999999,0.013999999999999999,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=234209; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.tw/A_UPDATE/stderr.log
Aether,top-10,com.tw,top-10/com.tw,NS_UPDATE,ok,,000.com.tw..txt,,46614.199,0.010000000000000002,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=234209; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.tw/NS_UPDATE/stderr.log
Aether,top-10,com.tw,top-10/com.tw,CNAME_UPDATE,ok,,001.com.tw..txt,,46754.84,0.222,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=234209; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.tw/CNAME_UPDATE/stderr.log
