zone,num_lec,io_time (ms),construction_time (ms),symbolic_time (ms),property_checking_time (ms),re_construction_time (ms),re_symbolic_time (ms),re_property_checking_time (ms),properties,initial_property_pass,initial_errors,incremental_property_pass,incremental_errors,rr_count,zone_file_count,trace_count,log_count,affected_trace_count,update_add_count,update_del_count,update_type,max_query_depth,min_label_num,min_label_bits
microbench/dname-subspace,10,1.959,9.113,0.621,0.008,0.098,0.243,0.01,too long|lame delegation|rewrite blackholing|hops|zone loop|delegation consistency|rewrites,false,rewrite 1|rewrite 1|rewrite 1|rewrite 1,false,rewrite 1,7,1,12,14,14,1,0,ADD:DNAME,10,5,4
microbench/dname-subspace,10,0.129,8.402,0.517,0.011,0.201,0.308,0.016,too long|lame delegation|rewrite blackholing|hops|zone loop|delegation consistency|rewrites,false,rewrite 1|rewrite 1|rewrite 1|rewrite 1,false,rewrite 1,7,1,12,14,14,1,0,ADD:DNAME,10,5,4
microbench/dname-subspace,10,0.157,9.396,0.533,0.008,0.122,0.251,0.014,too long|lame delegation|rewrite blackholing|hops|zone loop|delegation consistency|rewrites,false,rewrite 1|rewrite 1|rewrite 1|rewrite 1,false,rewrite 1,7,1,12,14,14,1,0,ADD:DNAME,10,5,4
